date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-10-02,MSFT,0.20118833,0.31672308,-0.20442724,-0.17472959,-0.2538072,-0.029206611,-0.005382,0.123168424,-0.21553978,0.055243623,-0.017224422,0.09832227,0.011404487,0.13092127,0.0114335865,0.05315215
2025-10-02,MSFT,0.36197475,0.23668368,-0.23102768,-0.15264688,-0.22017273,0.06349527,-0.13315068,0.0059728855,-0.20843574,0.07678075,-0.08389612,0.035863757,0.14785877,-0.1058074,0.10998551,0.021609006
2025-10-02,MSFT,0.3497667,0.0061285975,-0.07666225,-0.12025956,-0.17179379,-0.105759256,0.03267444,0.36108655,-0.20015995,-0.1370922,-0.067979135,0.0831472,-0.007567827,0.00092616666,-0.14013645,0.16660865
2025-10-02,MSFT,-0.16461788,0.10481404,-0.087483056,-0.242981,-0.008500293,0.032020986,0.024425674,0.19814071,-0.23556305,0.06955407,-0.27250934,0.085660875,0.069846265,0.09553936,0.15744635,0.010331414
2025-10-02,MSFT,-0.015772538,0.22484331,-0.17989503,-0.32687524,-0.09996874,0.0343696,0.069883965,-0.021180367,-0.14426868,0.3170043,-0.014444379,0.1354654,0.03027555,-0.031570025,-0.14507581,-0.03292888
2025-10-02,MSFT,0.083893456,0.26657996,-0.16270876,-0.09789479,-0.22260745,0.07207284,0.013762015,-0.022820463,-0.05618622,-0.005919201,-0.13536483,0.04265048,-0.045027178,-0.09232113,0.022723723,-0.038818818
2025-10-08,MSFT,-0.17189233,0.12392151,0.038722157,-0.18265475,-0.016001236,-0.07324212,-0.059460036,0.11040625,-0.19481269,0.0983512,-0.22494557,0.009296895,0.093660064,0.05776141,-0.025867749,-0.12775634
2025-10-09,MSFT,0.2574014,0.3326458,-0.33959717,-0.25810403,-0.24099109,-0.049928028,-0.046948623,0.018985068,-0.25682914,0.18048365,0.04195893,0.076604925,0.009677141,-0.00034484634,0.08216214,-0.03182932
2025-10-09,MSFT,0.38655913,0.25415212,-0.3331875,-0.2632028,-0.17894982,0.012686946,-0.075467095,0.038795013,-0.1737401,0.10935383,-0.034316584,0.01073721,0.19387321,-0.017898548,0.015462836,-0.11192434
2025-10-09,MSFT,0.025074473,0.052640222,0.018882187,-0.07988418,-0.08476482,-0.06481031,-0.1966284,0.13593668,-0.1256155,-0.0038653507,-0.15419486,0.057249114,0.0363643,-0.15308239,0.07764985,-0.2229686
